hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published
V1298 Tau,d,Transit,GO,5959,3,4,Flight Ready,SOSS,X,SUBSTRIP96,NISRAPID,5,X,X,13.9,Feinstein,0,04 05 19.5971 +20 09 25.31,8.094,108.2,5050,1.101,1.33,-1,12.4032,0.109,88.67,0.31,0.572,26.86,2.51,849.5,0,5.6,29.06,1.66,"Sep 10, 2025 - Sep 10, 2025 (2025.253 - 2025.253)",0.1,,
V1298 Tau,e,Transit,GO,5882,3,3,Implementation,BOTS,G395H,SUB2048,NRSRAPID,8,X,X,18.71,Dai,12,04 05 19.5910 +20 09 25.31,8.094,108.2,4995.5,1.136,1.338,4.227,48.83495,0.274,89.2,1.085,0.835,44.11,2.83,531.8,0,7.4,15.99,0.16,"Sep 23, 2025 - Sep 23, 2025 (2025.266 - 2025.266)",0.1,,
HD 207496,b,Transit,GO,6284,3,1,Skipped,GTS,GRISMR+F322W2,SUBGRISM64,BRIGHT1,4,X,X,6.94,Coy,12,21 54 51.3013 -77 20 16.79,5.967,23.61,4843,0.8,0.784,4.472,6.441007,0.063,88.79,0.019,0.215,11.8,2.94,824.7,0.1,1.8,202.18,1.64,X,0.1,,
V1298 Tau,e,Transit,GO,5882,3,2,Skipped,BOTS,G395H,SUB2048,NRSRAPID,8,X,X,18.71,Dai,12,04 05 19.5910 +20 09 25.31,8.094,108.2,4995.5,1.136,1.338,4.227,48.83495,0.274,89.2,1.085,0.835,44.11,2.83,531.8,0,7.4,15.99,0.16,"Sep 23, 2025 - Sep 23, 2025 (2025.266 - 2025.266)",0.1,,
WASP-6,b,Transit,GO,5924,3,11,Skipped,BOTS,PRISM,SUB512,NRSRAPID,4,X,X,8.19,Sing,0,23 12 37.7368 -22 40 26.27,10.325,197.12,5450,0.88,0.818,4.581,3.3610023,0.042,88.47,0.485,1.22,9.24,0.41,1158.2,2.1,2.6,232.67,25.42,"Oct 16, 2025 - Oct 16, 2025 (2025.289 - 2025.289)",-0.2,,
GJ 3929,b,Eclipse,DD,9235,3,3,On Hold (Inactive),F1500W,X,SUB128,FASTR1,47,X,X,8.03,Espinoza,0,15 58 18.6104 +35 24 29.37,7.869,15.81,3369,0.311,0.32,4.89,2.6162745,0.025,89.05,0.005,0.098,13.77,7.53,576.1,0.1,1.2,20.82,0.16,"Jan 28, 2026 - Jan 28, 2026 (2026.028 - 2026.028)",-0.01,,
WASP-6,b,Transit,GO,5924,3,16,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,4,X,X,8.19,Sing,0,23 12 37.7368 -22 40 26.27,10.325,197.12,5450,0.88,0.818,4.581,3.3610023,0.042,88.47,0.485,1.22,9.24,0.41,1158.2,2.1,2.6,232.67,25.42,"Oct 16, 2025 - Oct 16, 2025 (2025.289 - 2025.289)",-0.2,,
GJ 3929,b,Eclipse,DD,9235,3,4,On Hold (Inactive),F1500W,X,SUB128,FASTR1,47,X,X,6.34,Espinoza,0,15 58 18.6104 +35 24 29.37,7.869,15.81,3369,0.311,0.32,4.89,2.6162745,0.025,89.05,0.005,0.098,13.77,7.53,576.1,0.1,1.2,20.82,0.16,"Jan 30, 2026 - Jan 30, 2026 (2026.030 - 2026.030)",-0.01,,
GJ 3929,X,Eclipse,DD,9235,3,5,On Hold (Inactive),F1500W,X,SUB128,FASTR1,47,X,X,3.18,Espinoza,0,15 58 18.6104 +35 24 29.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Jan 31, 2026 - Jan 31, 2026 (2026.031 - 2026.031)",-999,,
WD 1856+534,b,Transit,GO,9033,4,3,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,105,X,X,3.38,MacDonald,12,18 57 39.3437 +53 30 33.30,15.548,24.74,5245,0.518,0.013,6.176,1.4079387,0.02,88.78,13.8,0.928,454.37,26.2,202.7,52.6,0.2,221.31,0,"Oct 22, 2025 - Oct 23, 2025 (2025.295 - 2025.296)",-999,,
55 Cnc,e,Eclipse,GO,7875,4,2,Implementation,MRS,X,FULL,FASTR1,50,X,X,6.58,Zhang,12,08 52 35.8111 +28 19 50.95,4.015,12.59,5250,0.905,0.964,4.425,0.7365462,0.016,84.65,0.025,0.172,24.24,7.52,1983.8,0,1.6,309.73,37.28,"Apr 2, 2026 - Apr 2, 2026 (2026.092 - 2026.092)",0.35,,
55 Cnc,e,Eclipse,GO,7875,4,1,Implementation,MRS,X,FULL,FASTR1,50,X,X,6.58,Zhang,12,08 52 35.8111 +28 19 50.95,4.015,12.59,5250,0.905,0.964,4.425,0.7365462,0.016,84.65,0.025,0.172,24.24,7.52,1983.8,0,1.6,309.73,37.28,"Mar 25, 2027 - Mar 25, 2027 (2027.084 - 2027.084)",0.35,,
HAT-P-13,b,Transit,GO,8233,4,2,Implementation,BOTS,G395M,SUB2048,NRSRAPID,8,X,X,9.57,Miguel,12,08 39 31.7694 +47 21 6.85,8.975,246.81,5653,1.22,1.56,4.13,2.9162419,0.043,83.4,0.891,1.384,13.18,0.51,1643.8,0.7,3.3,134.26,50.64,"Mar 25, 2026 - Mar 26, 2026 (2026.084 - 2026.085)",0.41,,
55 Cnc,e,Eclipse,GO,7875,4,3,Implementation,MRS,X,FULL,FASTR1,50,X,X,6.58,Zhang,12,08 52 35.8111 +28 19 50.95,4.015,12.59,5250,0.905,0.964,4.425,0.7365462,0.016,84.65,0.025,0.172,24.24,7.52,1983.8,0,1.6,309.73,37.28,"Apr 4, 2026 - Apr 4, 2026 (2026.094 - 2026.094)",0.35,,
WASP-25,b,Transit,GO,9025,4,1,Implementation,BOTS,G395H,SUB2048,NRSRAPID,99,X,X,8.89,Gao,12,13 01 26.3760 -27 31 19.92,10.174,211.42,5736,1,0.92,4.505,3.7648327,0.047,88,0.58,1.22,11.05,0.48,1219.3,1.9,2.8,173.47,24.21,"May 28, 2026 - May 28, 2026 (2026.148 - 2026.148)",-0.05,,
WD 1856+534,b,Transit,GO,9033,4,2,Flight Ready,LRS,X,SLITLESSPRISM,FASTR1,380,X,X,3.46,MacDonald,12,18 57 39.3437 +53 30 33.30,15.548,24.74,5245,0.518,0.013,6.176,1.4079387,0.02,88.78,13.8,0.928,454.37,26.2,202.7,52.6,0.2,221.31,0,"Sep 13, 2025 - Sep 13, 2025 (2025.256 - 2025.256)",-999,,
WASP-39,b,Transit,GO,8017,4,2,Implementation,BOTS,G235H,SUB2048,NRSRAPID,38,X,X,9.23,Welbanks,0,14 29 18.4152 -03 26 40.20,10.202,213.98,5326.6,0.918,1.013,4.389,4.0552804,0.049,87.76,0.28,1.279,4.85,0.2,1173.1,2.2,2.8,324.05,20.93,"Jun 15, 2026 - Jun 15, 2026 (2026.166 - 2026.166)",-0.03,,
WD 1856+534,b,Transit,GO,9033,4,1,Flight Ready,LRS,X,SLITLESSPRISM,FASTR1,380,X,X,3.46,MacDonald,12,18 57 39.3437 +53 30 33.30,15.548,24.74,5245,0.518,0.013,6.176,1.4079387,0.02,88.78,13.8,0.928,454.37,26.2,202.7,52.6,0.2,221.31,0,"Sep 5, 2025 - Sep 5, 2025 (2025.248 - 2025.248)",-999,,
WASP-193,b,Transit,GO,9101,4,2,Implementation,LRS,X,SLITLESSPRISM,FASTR1,75,X,X,13.34,Radica,12,10 57 23.8522 -29 59 49.67,10.745,362.09,6105,1.059,1.19,4.336,6.2462799,0.068,88.49,0.139,1.332,2.22,0.09,1235.3,1.3,4.3,438.74,12.7,"Feb 7, 2026 - Feb 8, 2026 (2026.038 - 2026.039)",-0.06,,
K2-232,b,Transit,GO,9025,4,2,Implementation,BOTS,G395H,SUB2048,NRSRAPID,20,X,X,13.85,Gao,12,04 55 3.9626 +18 39 16.31,8.434,130.72,6067.5,1.188,1.19,4.344,11.1684482,0.101,89.14,0.392,1.058,9.94,0.5,1002.9,0.9,5.2,182.98,10.16,"Sep 14, 2026 - Sep 15, 2026 (2026.257 - 2026.258)",0.1,,
HAT-P-32,b,Transit,GO,7849,4,6,Implementation,LRS,X,SLITLESSPRISM,FASTR1,109,X,X,9.49,Moran,12,02 04 10.2774 +46 41 16.21,9.99,289.2,6207,1.16,1.219,4.33,2.1500082,0.034,88.94,0.81,1.789,7.17,0.21,1784.7,2.3,3.1,355.4,95.09,"Feb 2, 2026 - Feb 3, 2026 (2026.033 - 2026.034)",-0.04,,
HIP 9618,b,Transit,GO,8004,4,3,Flight Ready,BOTS,G395H,SUB2048,NRSRAPID,6,X,X,14.13,Batalha,12,02 03 37.0253 +21 16 51.11,7.559,67.55,5617.3,0.942,0.963,4.45,20.772869,0.144,-1,0.026,0.345,6.3,0.98,700.4,0.1,4.9,167.2,0.42,"Sep 9, 2025 - Sep 9, 2025 (2025.252 - 2025.252)",-0.06,,
WASP-17,b,Eclipse,GO,8309,4,5,Implementation,LRS,X,SLITLESSPRISM,FASTR1,168,X,X,12.74,Mullens,12,15 59 50.9492 -28 03 42.31,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,"Aug 6, 2026 - Aug 6, 2026 (2026.218 - 2026.218)",-0.19,,
HAT-P-13,b,Transit,GO,8233,4,1,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,3,X,X,9.81,Miguel,12,08 39 31.7694 +47 21 6.85,8.975,246.81,5653,1.22,1.56,4.13,2.9162419,0.043,83.4,0.891,1.384,13.18,0.51,1643.8,0.7,3.3,134.26,50.64,"Mar 14, 2026 - Mar 14, 2026 (2026.073 - 2026.073)",0.41,,
WASP-17,b,Transit,GO,8309,4,3,Implementation,LRS,X,SLITLESSPRISM,FASTR1,168,X,X,12.74,Mullens,12,15 59 50.9492 -28 03 42.31,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,"Jul 31, 2026 - Jul 31, 2026 (2026.212 - 2026.212)",-0.19,,
WASP-193,b,Transit,GO,9101,4,3,Implementation,BOTS,G395M,SUB2048,NRSRAPID,54,X,X,12.21,Radica,12,10 57 23.8522 -29 59 49.67,10.745,362.09,6105,1.059,1.19,4.336,6.2462799,0.068,88.49,0.139,1.332,2.22,0.09,1235.3,1.3,4.3,438.74,12.7,"Apr 23, 2026 - Apr 23, 2026 (2026.113 - 2026.113)",-0.06,,
WASP-127,b,Transit,GO,9101,4,1,Implementation,LRS,X,SLITLESSPRISM,FASTR1,45,X,X,13.53,Radica,12,10 42 14.0837 -03 50 6.26,8.641,159.51,5620,1.08,1.369,4.18,4.178062,0.05,88.2,0.172,1.311,2.84,0.12,1415,1,4.3,769.49,44.07,"May 6, 2026 - May 7, 2026 (2026.126 - 2026.127)",-0.18,,
WASP-193,b,Transit,GO,9101,4,4,Implementation,BOTS,G235M,SUB2048,NRSRAPID,24,X,X,12.23,Radica,12,10 57 23.8522 -29 59 49.67,10.745,362.09,6105,1.059,1.19,4.336,6.2462799,0.068,88.49,0.139,1.332,2.22,0.09,1235.3,1.3,4.3,438.74,12.7,"Apr 30, 2026 - Apr 30, 2026 (2026.120 - 2026.120)",-0.06,,
WASP-193,b,Transit,GO,9101,4,5,Implementation,BOTS,G140H,SUB2048,NRSRAPID,26,X,X,12.24,Radica,12,10 57 23.8522 -29 59 49.67,10.745,362.09,6105,1.059,1.19,4.336,6.2462799,0.068,88.49,0.139,1.332,2.22,0.09,1235.3,1.3,4.3,438.74,12.7,"May 25, 2026 - May 25, 2026 (2026.145 - 2026.145)",-0.06,,
HATS-72,b,Transit,GO,7849,4,1,Implementation,LRS,X,SLITLESSPRISM,FASTR1,116,X,X,10.01,Moran,12,22 36 6.3190 -16 59 59.79,9.764,127.59,4656.1,0.731,0.721,4.585,7.3279485,0.067,89.56,0.125,0.785,5.77,0.39,739.4,1.4,3,254.14,2.59,"Jun 2, 2026 - Jun 3, 2026 (2026.153 - 2026.154)",0.1,,
WASP-17,b,Transit,GO,8309,4,1,Implementation,LRS,X,SLITLESSPRISM,FASTR1,168,X,X,12.74,Mullens,12,15 59 50.9492 -28 03 42.31,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,"Jul 27, 2026 - Jul 27, 2026 (2026.208 - 2026.208)",-0.19,,
HD 86226,c,Transit,GO,7407,4,2,Implementation,GTS,GRISMR+F322W2,SUB164S4_8-SPECTRA,DHS4,2,X,X,10.53,Nixon,12,09 56 29.8442 -24 05 57.80,6.463,45.68,5863,1.019,1.053,4.4,3.9846589,0.049,86.45,0.023,0.191,17.67,4.94,1310.6,0,2.6,84.41,3.14,Not a candidate for the long range plan,0.02,,
HD 86226,c,Transit,GO,7407,4,3,Implementation,LRS,X,SLITLESSPRISM,FASTR1,6,X,X,10.34,Nixon,12,09 56 29.8442 -24 05 57.80,6.463,45.68,5863,1.019,1.053,4.4,3.9846589,0.049,86.45,0.023,0.191,17.67,4.94,1310.6,0,2.6,84.41,3.14,Not a candidate for the long range plan,0.02,,
HD 86226,c,Transit,GO,7407,4,1,Implementation,GTS,GRISMR+F444W,SUB164S4_8-SPECTRA,DHS4,3,X,X,10.47,Nixon,12,09 56 29.8442 -24 05 57.80,6.463,45.68,5863,1.019,1.053,4.4,3.9846589,0.049,86.45,0.023,0.191,17.67,4.94,1310.6,0,2.6,84.41,3.14,Not a candidate for the long range plan,0.02,,
HIP 9618,b,Transit,GO,8004,4,4,Flight Ready,BOTS,G395H,SUB2048,NRSRAPID,6,X,X,14.13,Batalha,12,02 03 37.0253 +21 16 51.11,7.559,67.55,5617.3,0.942,0.963,4.45,20.772869,0.144,-1,0.026,0.345,6.3,0.98,700.4,0.1,4.9,167.2,0.42,"Jan 11, 2026 - Jan 11, 2026 (2026.011 - 2026.011)",-0.06,,
BD+05 4868 A,b,PhaseC,GO,8739,4,1,Flight Ready,LRS,X,SLITLESSPRISM,FASTR1,16,X,X,43.66,Hon,12,21 47 26.7438 +06 36 19.20,7.448,43.57,4596,0.7,0.69,4.6,1.271869,0.021,-1,0.02,-1,-1,-1,1276.5,1.4,-1,-1,-1,"Oct 9, 2025 - Oct 9, 2025 (2025.282 - 2025.282)",-0.05,,
WASP-84,b,Transit,GO,9025,4,3,Implementation,BOTS,G395H,SUB2048,NRSRAPID,30,X,X,8.97,Gao,12,08 44 25.7032 +01 51 36.11,8.855,100.59,5307,0.842,0.748,4.4,8.5234963,0.077,88.37,0.693,0.956,21.49,1.2,796.1,1.7,2.8,126.65,6.76,"Nov 29, 2026 - Nov 30, 2026 (2026.333 - 2026.334)",0,,
KELT-9,b,PhaseC,GO,7255,4,2,Flight Ready,SOSS,X,SUBSTRIP96,NISRAPID,3,X,X,24.9,Stevenson,12,20 31 26.3534 +39 56 19.77,7.482,204.46,10170,2.52,2.362,4.093,1.4811187,0.035,86.79,2.66,1.815,22.9,0.68,4050.7,0.7,4,216.71,232.28,"Nov 6, 2026 - Nov 6, 2026 (2026.310 - 2026.310)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,62,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Nov 21, 2025 - Nov 21, 2025 (2025.325 - 2025.325)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,60,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Jan 19, 2026 - Jan 19, 2026 (2026.019 - 2026.019)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,57,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Dec 8, 2025 - Dec 8, 2025 (2025.342 - 2025.342)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,56,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Sep 4, 2026 - Sep 4, 2026 (2026.247 - 2026.247)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,61,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Jan 27, 2026 - Jan 27, 2026 (2026.027 - 2026.027)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,52,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Sep 6, 2025 - Sep 6, 2025 (2025.249 - 2025.249)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,65,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Feb 13, 2026 - Feb 13, 2026 (2026.044 - 2026.044)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,58,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Dec 16, 2025 - Dec 16, 2025 (2025.350 - 2025.350)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,63,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Oct 18, 2025 - Oct 18, 2025 (2025.291 - 2025.291)",-0.03,,
TOI-1801,b,Transit,GO,6932,4,1,Implementation,SOSS,X,SUBSTRIP96,NISRAPID,5,X,X,7.89,Luque,12,11 42 18.1365 +23 01 37.34,7.805,30.68,3815,0.531,0.547,4.72,10.6439385,0.075,89.51,0.034,0.177,30.79,9.28,496.8,0.1,2.7,34.03,0.04,"Apr 29, 2026 - Apr 29, 2026 (2026.119 - 2026.119)",-0.02,,
TOI-1801,b,Transit,GO,6932,4,6,Implementation,BOTS,G395H,SUB2048,NRSRAPID,8,X,X,7.84,Luque,12,11 42 18.1365 +23 01 37.34,7.805,30.68,3815,0.531,0.547,4.72,10.6439385,0.075,89.51,0.034,0.177,30.79,9.28,496.8,0.1,2.7,34.03,0.04,"Apr 18, 2026 - Apr 18, 2026 (2026.108 - 2026.108)",-0.02,,
TOI-1801,b,Transit,GO,6932,4,5,Implementation,SOSS,X,SUBSTRIP96,NISRAPID,5,X,X,7.89,Luque,12,11 42 18.1365 +23 01 37.34,7.805,30.68,3815,0.531,0.547,4.72,10.6439385,0.075,89.51,0.034,0.177,30.79,9.28,496.8,0.1,2.7,34.03,0.04,"Dec 22, 2025 - Dec 22, 2025 (2025.356 - 2025.356)",-0.02,,
TOI-1801,b,Transit,GO,6932,4,4,Implementation,BOTS,G395H,SUB2048,NRSRAPID,8,X,X,7.84,Luque,12,11 42 18.1365 +23 01 37.34,7.805,30.68,3815,0.531,0.547,4.72,10.6439385,0.075,89.51,0.034,0.177,30.79,9.28,496.8,0.1,2.7,34.03,0.04,"May 31, 2026 - May 31, 2026 (2026.151 - 2026.151)",-0.02,,
TOI-1801,b,Transit,GO,6932,4,3,Implementation,SOSS,X,SUBSTRIP96,NISRAPID,5,X,X,7.89,Luque,12,11 42 18.1365 +23 01 37.34,7.805,30.68,3815,0.531,0.547,4.72,10.6439385,0.075,89.51,0.034,0.177,30.79,9.28,496.8,0.1,2.7,34.03,0.04,"Jan 12, 2026 - Jan 12, 2026 (2026.012 - 2026.012)",-0.02,,
TOI-1801,b,Transit,GO,6932,4,2,Implementation,BOTS,G395H,SUB2048,NRSRAPID,8,X,X,7.84,Luque,12,11 42 18.1365 +23 01 37.34,7.805,30.68,3815,0.531,0.547,4.72,10.6439385,0.075,89.51,0.034,0.177,30.79,9.28,496.8,0.1,2.7,34.03,0.04,"May 10, 2026 - May 10, 2026 (2026.130 - 2026.130)",-0.02,,
TOI-1807,b,PhaseC,GO,8864,4,1,Implementation,LRS,X,SLITLESSPRISM,FASTR1,10,X,X,23.89,Dang,12,13 25 7.9957 +38 55 20.94,7.568,42.58,4743.5,0.76,0.715,4.58,0.5493715,0.012,79.85,0.008,0.128,13.66,5.72,1765.6,0,1,19.34,6.28,"May 19, 2026 - May 20, 2026 (2026.139 - 2026.140)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,64,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Feb 5, 2026 - Feb 5, 2026 (2026.036 - 2026.036)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,67,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Nov 29, 2025 - Nov 29, 2025 (2025.333 - 2025.333)",-0.03,,
TOI-199,b,Transit,GO,7188,4,2,Implementation,BOTS,G395H,SUB2048,NRSRAPID,19,X,X,17.41,Acuna,12,05 20 25.3152 -59 53 44.46,8.814,102.27,5302.5,0.936,0.85,4.553,104.8634818,0.425,90,0.17,0.861,6.5,0.4,361.4,1.2,6.6,135.14,0.01,"Feb 15, 2026 - Feb 15, 2026 (2026.046 - 2026.046)",0.22,,
TOI-199,b,Transit,GO,7188,4,1,Implementation,BOTS,G395H,SUB2048,NRSRAPID,19,X,X,17.41,Acuna,12,05 20 25.3152 -59 53 44.46,8.814,102.27,5302.5,0.936,0.85,4.553,104.8634818,0.425,90,0.17,0.861,6.5,0.4,361.4,1.2,6.6,135.14,0.01,"Nov 2, 2025 - Nov 3, 2025 (2025.306 - 2025.307)",0.22,,
TOI-2031,b,Transit,GO,9025,4,4,Implementation,BOTS,G395H,SUB2048,NRSRAPID,85,X,X,10.28,Gao,12,22 04 28.0921 +81 33 57.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Sep 18, 2025 - Sep 19, 2025 (2025.261 - 2025.262)",-999,,
LP 890-9,c,Transit,GO,7073,4,59,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Oct 1, 2025 - Oct 1, 2025 (2025.274 - 2025.274)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,54,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Sep 30, 2026 - Sep 30, 2026 (2026.273 - 2026.273)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,53,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Sep 21, 2026 - Sep 21, 2026 (2026.264 - 2026.264)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,66,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Oct 26, 2025 - Oct 26, 2025 (2025.299 - 2025.299)",-0.03,,
LP 890-9,c,Transit,GO,7073,4,55,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.58,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2850,0.118,0.156,5.126,8.457463,0.04,89.29,0.08,0.122,151.7,66.55,271.6,0.7,1,0.95,0,"Nov 4, 2025 - Nov 4, 2025 (2025.308 - 2025.308)",-0.03,,
TOI-1670,c,Transit,GO,7982,4,3,Implementation,BOTS,G235M,SUB2048,NRSRAPID,4,X,X,13.53,Claringbold,12,17 16 4.1608 +72 09 40.17,8.724,168.07,6330,1.214,1.31,4.29,40.7501028,0.249,88.84,0.604,0.97,18.2,1,700.1,0.6,5.4,46.23,0.88,"Mar 16, 2027 - Mar 16, 2027 (2027.075 - 2027.075)",0.05,,
NGTS-11,b,Transit,GO,7982,4,4,Implementation,BOTS,G395M,SUB2048,NRSRAPID,37,X,X,9.31,Claringbold,12,01 34 5.1361 -14 25 9.15,10.315,190.42,5063,0.862,0.831,4.515,35.4557945,0.201,89.16,0.344,0.809,14.89,0.98,496.4,1,3.7,39.89,0.08,"Nov 24, 2026 - Nov 24, 2026 (2026.328 - 2026.328)",0.22,,
NGTS-11,b,Transit,GO,7982,4,1,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,15,X,X,9.77,Claringbold,12,01 34 5.1361 -14 25 9.15,10.315,190.42,5063,0.862,0.831,4.515,35.4557945,0.201,89.16,0.344,0.809,14.89,0.98,496.4,1,3.7,39.89,0.08,"Jul 5, 2026 - Jul 5, 2026 (2026.186 - 2026.186)",0.22,,
TIC_207140650,X,Flares,GO,7068,4,5,Flight Ready,SOSS,X,SUBSTRIP256,NISRAPID,5,X,X,7.93,Doshi,12,02 56 57.6741 -58 21 45.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Sep 2, 2025 - Sep 22, 2025 (2025.245 - 2025.265)",-999,,
